title;text
In dem Film landet der Protagonist, gespielt von dem großartigen Flynn Decker, am 22. Oktober 2015 in San Francisco und muss sich mit den technischen Wirren der damaligen Zeit auseinandersetzen. Unvergessen sein urkomischer Umgang mit dem iPhone 6s, das er zunächst für einen Aschenbecher aus dem Jahr 2035 hält.
Zukünftige Fans aus aller Welt bereiten sich seit Monaten auf das Spektakel vor. “Ich werde riesiger Anhänger dieser Filmreihe sein”, so ein amerikanischer Student begeistert. “Es wird interessant sein zu sehen, in wieweit sich die Vergangenheitsvorstellungen des Filmes mit der tatsächlichen Vergangenheit, also der Vergangenheit von morgen, unterscheiden und was wirklich eintreffen wird.”
Sport-Bild-Chefredakteur Alfred Draxler musste nicht lange überredet werden: “Als Franz anrief, habe ich ihm sofort zugesagt.” Das Geld spiele da eine untergeordnete Rolle, er mache es vor allem, “um ins Fernsehen zu kommen.” Außerdem macht die gesamte Redaktion mit.
“Gute Freunde kann niemand trennen”," ab Freitag im Handel und als MP3 erhältlich."""
"Frau erbt 10 Mio. Dollar von unbekanntem Verwandten in Burkina Faso;""Eine Frau aus Karlsruhe hat es über Nacht zur Millionärin geschafft. Die 42-jährige Krankenschwester wurde per E-Mail über ein sehr großzügiges Erbe informiert."
Am 24. August hat sich das Leben von Anja Rühling grundlegend verändert. Nachdem die 42-jährige Krankenschwester nach der Arbeit ihre E-Mails abrief, traute sie ihren Augen kaum, als sie im Spamordner eine Mail aus Burkina Faso fand.








“Ich dachte, ich falle aus allen Wolken, als ich plötzlich im Betreff las, dass ich 10 Millionen Dollar bekommen soll”, so die glückliche Jungmillionärin. Das auf Englisch verfasste Schreiben begann mit dem gut sichtbaren Hinweis, dass es sich um keinen Scherz handele. “Einer meiner Verwandten soll mit dem Flugzeug abgestürzt sein und mir diese unglaubliche Summe vermacht haben. Es wurde mir immer wieder versichert, dass das alles kein Witz sei.”
Nachdem sie schließlich der Aufforderung nachkam, den im Anhang befindlichen Link zu öffnen, wurde sie auf eine Internetseite weitergeleitet, wo sie sämtliche Daten zur Verifizierung eingeben musste.
“Natürlich musste ich mich ausweisen, was bei der horrenden Summe nicht weiter verwunderlich ist”, so Rühling. Aber nur wenige Minuten, nachdem sie ihren Personalausweis gescannt und ihre Kontodaten samt PIN durchgegeben hatte, folgte bereits eine Bestätigungsmail mit der Ankündigung, dass das Geld in den nächsten Tagen ihr Konto erreichen würde. Sie müsse bloß noch einmal drei Links anklicken, die sich am unteren Ende der Mail befänden.
Am 29. August schließlich war das Geld auf ihrem Konto. “Ich ging zur Bank und sah auf meinen Auszügen einen Eingang über knapp 8,8 Millionen Euro. Es war der absolute Wahnsinn!”
Doch die Freude über den neuen Reichtum wird getrübt durch den Verlust des anonymen Verwandten, den sie bei dem Flugzeugabsturz verlor.
“Man wollte mir seinen Namen nicht nennen, aber ich schließe ihn täglich mit in meine Gebete ein”, so die 42-Jährige unter Tränen.
Fälle wie dieser sind laut Nachlassverwalter Hagen Beuchert keine Seltenheit. “Es passiert häufiger als man denkt, dass vermeintlich unbekannte Verwandte, von denen man zuvor noch nie etwas gehört hat, größere Millionenbeträge an ahnungslose Bürger vererben.”
Allerdings scheinen viele Empfänger solchen Mails nicht zu trauen oder sind aus unerfindlichen Gründen mit der Situation überfordert, sodass sie nie darauf reagieren.
Im letzten Jahr seien dadurch alleine rund 780.000.000.000 Dollar an wohltätige Zwecke gespendet worden, so Bäuchert.
Anja Rühling freut sich unterdessen, die Mail geöffnet zu haben. “Das war die beste Entscheidung in meinem Leben”, so die zweifache Mutter glücklich.
(Erstamls veröffentlicht am 9. Oktober 2011)
"(JPL/Foto: „FEMA – 19762 – Photograph by Greg Henshall taken on 11-28-2005 in Louisiana“ von Greg Henshall – This image is from the FEMA Photo Library.. Lizenziert unter Gemeinfrei über Wikimedia Commons."""
"Kurios: Schreibmaschinenhandel vermeldet explosionsartige Umsatzsteigerungen innerhalb weniger Stunden;""16. Oktober 2015  Mehrere Schreibmaschinenhersteller und -handelsketten vermelden seit Stunden eine unerklärlich hohe Nachfrage nach ihren Produkten. Bislang ist man der Ursache noch nicht auf auf den Grund gekommen", aber die Umsätze sind so hoch wie seit Jahrzehnten nicht mehr.
Margot Gebert ist noch immer sprachlos. Die 59-Jährige betreibt seit 35 jahren ein kleines Schreibmaschinen-Fachgeschäft in Berlin. “Wir kämpfen seit Jahren ums Überleben, weil die Nachfrage dramatisch sinkt.”








Doch was heute Vormittag passierte, hat Gebert noch nie erlebt. “Gegen 11 Uhr stürmten plötzlich an die 20 Kunden meinen Laden und wollten eine Schreibmaschine kaufen. Und es wurden minütlich immer mehr!”
Ein Phänomen, das bundesweit um sich greift. Seit Stunden berichten immer mehr Schreibmaschinenhandelsketten von ganz ähnlichen Phänomenen. Überall stürmen Menschen die Geschäfte oder bestellen online eine Schreibmaschine.
“Wir haben keine Ahnung, was hier gerade passiert”, so ein Sprecher des Schreibmaschinenhandelsverbandes. “Wir erleben zur Zeit die größte Nachfrage seit fast 100 Jahren. Wir haben allein in den letzten zwei Stunden das dreifache unserer Umsatzzahlen zwischen 2000 und 2014 erreicht. Und ein Ende ist derzeit noch nicht in Sicht.”
Er vermute, die überragende Nachfrage nach einer Schreibmaschine hänge mit einem neuen Trend zusammen. “Vermutlich wieder so eine Nostalgie-Sache. Schreibmaschinen scheinen plötzlich wieder Kult geworden zu sein.”
Unterdessen warnt die Polizei vor weiteren unerklärlichen Vorfällen: Demnach kommt es seit einigen Stunden in ganz Deutschland immer wieder vereinzelt zu Unfällen, weil Passanten von herabstürzenden Telefonen, PCs, Laptops und Handys getroffen werden," die zahlreiche Anwohner offenbar aus dem Fenster werfen."""
"Das sind die 404 Verfassungsbrecher aus dem Bundestag!;""Speichern Sie diese Liste ruhig lange auf Vorrat ab", 2017 werden Sie sie brauchen. 
Hier die Namen der 404 Abgeordneten, die am 16. Oktober 2015 für die Vorratsdatenspeicherung gestimmt haben. Hinweis, weil wir vielfach gefragt wurden: Bundeskanzlerin Angela Merkel nahm nicht an der Abstimmung teil und Justizminister Heiko Maas ist nicht Abgeordneter des Bundestages, weshalb er auch nicht abgestimmt hat.








A  B  C  D  E  F  G  H  I  J  K  L  M  N  O  P  Q  R  S  T  U  V  W  X  Y  Z 
A

Albani, Stephan
Albsteiger, Katrin
Altmaier, Peter
Amtsberg, Luise
Annen, Niels
Arndt-Brauer, Ingrid
Arnold, Rainer
Auernhammer, Artur

B

Baehrens, Heike
Bahr, Ulrike
Barchmann, Heinz-Joachim
Barley, Dr. Katarina
Barnett, Doris
Barthle, Norbert
Bartke, Dr. Matthias
Bartol, Sören
Bas, Bärbel
Baumann, Günter
Beermann, Maik
Behrens, Manfred
Benning, Sybille
Berghegger, Dr. André
Bergner, Dr. Christoph
Bertram, Ute
Beyer, Peter
Bilger, Steffen
Binninger, Clemens
Bleser, Peter
