title;text
Allerdings geht er optimistisch zum Schafott und fragte auch bereits nach, wann die Hinrichtung stattfinden soll, denn er habe einen ziemlich vollen Terminkalender und die Urteilsvollstreckung stünde eventuell einer Auslandsreise oder einer Kabinettssitzung im Wege.
“Hauptsächlich gehe ich aber davon aus, dass ich den Galgen überleben und ihn kaputt machen werde, zumal die Kanzlerin ja neben mir hängen soll.” Gabriel wird auch sein Recht auf eine gehaltvolle Henkersmahlzeit in Anspruch nehmen. “Nicht, dass ich das nötig hätte, um dem Galgen zu zeigen, wo der Hammer hängt. Aber eine Gratismahlzeit habe ich noch nie abgelehnt.”
Sie hätten sich diesen Artikel auch vorlesen lassen können: Unter der Rufnummer 0421-98977068 steht unser freundlicher Anrufbeantworter bereit," der ihnen unseren aktuellen Artikel vorliest. (Kostenlos – lediglich Ihre normalen Telefongebühren fallen an!)"""
"Studie: Internet-Mordaufrufe und -Drohungen mit angefügtem Smiley wirken oft viel freundlicher;""12. Oktober 2015  Wie eine Studie ergab", wirken Hassbotschaften im Internet, die einen zwinkernden oder lachenden Smiley hinter ihren Drohnungen haben, auf viele Leser deutlich freundlicher und sympathischer als ohne.
Derzeit kursieren in den sozialen Netzen zahlreiche Hasskommentare zur Flüchtlingskrise. Viele Nutzer entschärfen ihre Nachrichten jedoch mit einem freundlich lächelnden Emoji am Ende ihrer Tirade. So sind oft Sätze zu lesen wie “Man sollte die Flüchtlingsheime alle abfackeln. 😀 ” oder “Packt mal ein bisschen Gas mit in die Zelte!!  😉 😉 😉 ”







